2026-04-17T16:31:41.068820+01:00 2026-04-17 15: 31:41 | INFO | qsh.server | event=session_open session='S0010' client='10.10.0.1' addr=('10.10.0.1', 54352)
2026-04-17T16:31:41.247903+01:00 2026-04-17 15: 31:41 | INFO | qsh.qkd | event=server_qkd_client_report eve_mode='none' eve_intercepts=0 eve_observed_rate=0.0
2026-04-17T16:31:41.248706+01:00 2026-04-17 15: 31:41 | INFO | qsh.qkd | event=server_qkd_report qber=0.0 sifted_bits=248 sifted_rate=0.4844
2026-04-17T16:31:41.248706+01:00 2026-04-17 15: 31:41 | INFO | qsh.server | event=secure_channel_active session='S0010' client='10.10.0.1'
2026-04-17T16:31:41.252593+01:00 2026-04-17 15: 31:41 | INFO | qsh.server | event=request_received session='S0010' client='10.10.0.1' action='auth'
2026-04-17T16:31:41.364505+01:00 2026-04-17 15: 31:41 | INFO | qsh.server | event=auth_success session='S0010' client='10.10.0.1'
2026-04-17T16:31:49.031456+01:00 2026-04-17 15: 31:49 | INFO | qsh.server | event=request_received session='S0010' client='10.10.0.1' action='list_sessions'
2026-04-17T16:32:01.385803+01:00 2026-04-17 15: 32:01 | INFO | qsh.server | event=request_received session='S0010' client='10.10.0.1' action='kill_session'
2026-04-17T16:32:01.385803+01:00 2026-04-17 15: 32:01 | INFO | qsh.server | event=session_error session='S0010' client='10.10.0.1' error="OSError(9, 'Bad file descriptor')"
2026-04-17T16:32:11.706685+01:00 2026-04-17 15: 32:11 | INFO | qsh.server | event=session_open session='S0011' client='10.10.0.1' addr=('10.10.0.1', 47018)
2026-04-17T16:32:11.891193+01:00 2026-04-17 15: 32:11 | INFO | qsh.qkd | event=server_qkd_client_report eve_mode='none' eve_intercepts=0 eve_observed_rate=0.0
2026-04-17T16:32:11.893862+01:00 2026-04-17 15: 32:11 | INFO | qsh.qkd | event=server_qkd_report qber=0.0 sifted_bits=226 sifted_rate=0.4414
2026-04-17T16:32:11.896880+01:00 2026-04-17 15: 32:11 | INFO | qsh.server | event=secure_channel_active session='S0011' client='10.10.0.1'
2026-04-17T16:32:11.902462+01:00 2026-04-17 15: 32:11 | INFO | qsh.server | event=request_received session='S0011' client='10.10.0.1' action='auth'
2026-04-17T16:32:12.013177+01:00 2026-04-17 15: 32:12 | INFO | qsh.server | event=auth_success session='S0011' client='10.10.0.1'
2026-04-17T16:32:52.132618+01:00 2026-04-17 15: 32:52 | INFO | qsh.server | event=request_received session='S0011' client='10.10.0.1' action='quit'
2026-04-17T16:32:52.133131+01:00 2026-04-17 15: 32:52 | INFO | qsh.server | event=session_close session='S0011' client='10.10.0.1' reason='client_quit'
2026-04-17T16:32:52.133131+01:00 2026-04-17 15: 32:52 | INFO | qsh.server | event=session_close session='S0011' client='10.10.0.1' reason='client_quit'
2026-04-17T16:32:52.133131+01:00 2026-04-17 15: 32:52 | INFO | qsh.server | event=session_close session='S0011' client='10.10.0.1' reason='client_quit'
2026-04-17T16:32:11.902462+01:00 2026-04-17 15: 32:11 | INFO | qsh.server | event=request_received session='S0011' client='10.10.0.1' action='auth'
2026-04-17T16:31:30.021607+01:00 2026-04-17 15: 31:30 | INFO | qsh.server | event=session_close session='S0009' client='10.10.0.1' reason='client_quit'
