[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3493 | UID=CHXKLq3h58gZ8Udl3j | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:259 | UID=CcE7AL2pXcLYQQtgS8 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:1352 | UID=CyDcBbHaDiD3MlKq | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:7004 | UID=C0DNbk1P39ivhRkIdd | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3283 | UID=CdizbuCr3Og6o42Rf | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3914 | UID=CwOHG538KOXFV3YTd4 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3828 | UID=CvBs7S3Ajb6PYilmmi | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:9091 | UID=CTRfla4r8Ihg8t29Kj | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:5859 | UID=CM2bo51LuOyaLehDK2 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:24 | UID=CZpCbi3ORNBBxsTNt6 | ATTACK=portscan | CONF=0.9971
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:7778 | UID=CdkFo35O1buQqxBa7 | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:1041 | UID=CLaU202DKDx6qMz9Gh | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:2099 | UID=CfoB5X2QVMUET125hd | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:987 | UID=CGNf951b7oX2sgN1kb | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:5952 | UID=C4lZB82iNurlCy5ts5 | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:3301 | UID=CagCFp1SkN632NJOza | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:5431 | UID=Cdjj2p4XVsDqMOcwRe | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:458 | UID=Ciq6Dy3hd54L8tROrj | ATTACK=portscan | CONF=0.9972
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:10003 | UID=CEeYay4Od60N40Ss3h | ATTACK=portscan | CONF=0.9978
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:1059 | UID=C28yE61vsdPBkPip72 | ATTACK=portscan | CONF=0.8354
[2026-04-12 18:22:56] ML | 192.168.56.10:39141 -> 10.10.0.2:7002 | UID=CW6d1o2PFu5yVKfpjc | ATTACK=portscan | CONF=0.9641
